NorCal + Central Valley VA Call & Price Log  —  1067 Vets  |  One row per vet. Fill in prices for each service collected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP(cat)
($)","FeLV(cat)
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
EX,Example Animal Hospital,(555) 555-0100,123 Main St,Sample City,90001,General Practice,"Mon-Fri: 8am-6pm
Sat: 9am-2pm",Called - Got Prices,,Yes,No,Front Desk,Very friendly,65,,25,45,,,20,,,85,75,350,250,400,,150,120,200,,,Dogs & Cats,Sample note,Pending Review
1,Acton Veterinary Clinic,(661) 269-7060,32033 Crown Valley Rd,Acton,93510,General Practice,"Tuesday: 8:30 AM – 5:30 PM
Wednesday: 8:30 AM – 5:30 PM
Thursday: 9:00 AM – 1:00 PM
Friday: 8:30 AM – 5:30 PM
Saturday: 8:30 AM – 5:30 PM
Sunday: 9:00 AM – 1:00 PM",Voicemail Left,Call Back Later,,,,,,,,,,,,,,,,,,"If it includes anesthesia, blood work, and an X-ray.",,,,,,,,,
2,Agoura Animal Clinic,(818) 991-1036,28282 Dorothy Dr,Agoura Hills,91301,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 7:30 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,Shannon,,$87,No technician fee,$59 for cat. For a dog $47,$47,,,$47,$47,$53,,,$47,$47,The vet will do an estimate on the cost. Needs consulation first.,The vet will do an estimate on the cost. Needs consulation first.,,,,$250,$250,,,
3,"Western Veterinary Center, Medical & Surgical Hospital",(805) 957-7387,4990 Reyes Adobe Rd,Agoura Hills,91301,General Practice,Monday: Open 24 hours,Called - Got Prices,,Yes,Yes,Giselle,,$95,No technician fee,Ranges from $50 - $70 ,Ranges from $50 - $70 ,,,Ranges from $50 - $70 ,Ranges from $50 - $70 ,Ranges from $50 - $70 ,,,Ranges from $900 - $1300,Ranges from $900 - $1300,Rough estimate $1200 - $3000,,,,,Rough Estimate $185,Rough Estimate $185,,,
4,Alameda Pet Hospital,8:41:21 AM,2275 Buena Vista Ave,Alameda,94501,General Practice,"Tuesday: 8:00 AM – 12:30 PM
Tuesday: 2:00 PM – 6:00 PM
Wednesday: 8:00 AM – 12:30 PM
Wednesday: 2:00 PM – 6:00 PM
Thursday: 8:00 AM – 12:30 PM
Thursday: 3:00 PM – 6:00 PM
Friday: 8:00 AM – 12:30 PM
Friday: 2:00 PM – 6:00 PM
Saturday: 8:00 AM – 12:30 PM
Saturday: 2:00 PM – 6:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $113,No technician fee,RANGES $45 - $66  ,RANGES $45 - $66  ,,,RANGES $45 - $66  ,RANGES $45 - $66  ,RANGES $45 - $66  ,,,STARTING $1407,STARTING $1429,STARTING $1803,STARTING $1803,,,,Appoinments Only,$148,,,
5,Marina Village Veterinary,(510) 939-8340,943 Marina Village Pkwy,Alameda,94501,General Practice,"Tuesday: 8:30 AM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: 8:30 AM – 6:00 PM",No Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Providence Veterinary Clinic,(510) 521-5775,1409 Webster St,Alameda,94501,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 3:00 PM",Called - Got Prices,,Yes,Yes,Emily,,$100,No technician fee,around $40, around $40,,,around $40,around $40,around $40,,,"$2,000","$2,000",Ranges $3000 to 3500,,,,,Appointments Only,Only appointmentAppointments Only,,,
7,Alamo Animal Hospital,(925) 837-7246,3176 Danville Blvd,Alamo,94507,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 1:00 PM",Called - Got Prices,,Yes,No,Zoe,They work with insurance after consultation,$79,No technician fee,$49,$49,,,$49,$59,$53,,,$800 - $1000,$1300 - $1800,Needs Consulation First. Ranges from $1600 - over $3000,,,,,Appoinments Only,Appoinments Only,,,
8,Alamo Pet Care Hospital,(925) 791-5488,3217 Danville Blvd,Alamo,94507,General Practice,"Tuesday: 8:00 AM – 4:30 PM
Wednesday: 8:00 AM – 4:30 PM
Thursday: 10:00 AM – 4:30 PM
Friday: 8:00 AM – 4:30 PM
Saturday: 8:00 AM – 4:30 PM
Sunday: 9:00 AM – 12:30 PM",Called - Got Prices,,Yes,No,,,$82.50,No technician fee,Ranges from $40 -$60,Ranges from $40 -$60,,,Ranges from $40 -$60,Ranges from $40 -$60,Ranges from $40 -$60,,,Needs Consulation first before giving estimates on surgery,Needs Consulation first before giving estimates on surgery,Needs Consulation first before giving estimates on surgery,,,,,,,,,
9,Pioneer Equine Veterinary Services,(925) 846-7611,PO Box 10,Alamo,94507,General Practice,,Callback Requested,Call Back Later,,,,Horse clinic only,,,,,,,,,,,,,,,,,,,,,,,
