 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP
($)","FeLV
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
EX,Example Animal Hospital,(555) 555-0100,123 Main St,Sample City,90001,General Practice,"Mon-Fri: 8am-6pm
Sat: 9am-2pm",Called - Got Prices,,Yes,No,Front Desk,Very friendly,65,,25,45,,,20,,,85,75,350,250,400,,150,120,200,,,Dogs & Cats,Sample note,Pending Review
1,Alhambra Veterinary Hospital,(626) 289-9227,1501 W Mission Rd,Alhambra,91803,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,Front Desk,"Was extremely friendly and helpful

They Stated that Urgent care = Emergency care",wellness exam 92,32,36 -46,45,,,"28, 32 yearly",47 (Exact),41 (Exact),,,est 985 - 1575,est 715 -1300,2700 - 3800,900 - 1500,,,,92,Same as Emergency visit,,does this mean they do not have emergency services? confused on dental with no anesthesia,
2,South Pasadena Animal Hospital,(626) 441-1314,3116 W Main St,Alhambra,91801,General Practice,"Tuesday: 8:00 AM – 1:00 PM
Tuesday: 2:00 PM – 6:00 PM
Wednesday: 8:00 AM – 1:00 PM
Wednesday: 2:00 PM – 6:00 PM
Thursday: 8:00 AM – 1:00 PM
Thursday: 2:00 PM – 6:00 PM
Friday: 8:00 AM – 1:00 PM
Friday: 2:00 PM – 6:00 PM
Saturday: 8:00 AM – 1:00 PM
Saturday: 2:00 PM – 6:00 PM",Disconnected,,No,,,They do not accept new clients,,,,,,,,,,,,,,,,,,,,,,,
3,VCA Mission Animal Hospital,(626) 289-3643,25 W Mission Rd,Alhambra,91801,General Practice,"Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 7:00 PM
Sunday: 8:00 AM – 4:00 PM",Called - Got Prices,,Yes,Yes,Front Desk,"They do not have vet tech fees
They also stated that they do not offer emergency or urgent care",100 (Exact),N/A,72 (Exact),72 (Exact),,,72 (Exact),100 (Exact),72 (Exact),,,Start Price -600,Start Price - 600,250 (Starting Price ) + additional fees depending on patient's condtion,N/A,,,,,,,"confused by dental prices, xrays blood work?",
4,Veterinary Eye Clinic Alhambra,(626) 537-1779,3000 W Valley Blvd Suite A,Alhambra,91803,General Practice,"Tuesday: 8:00 AM – 4:00 PM
Wednesday: 8:00 AM – 4:00 PM
Thursday: 8:00 AM – 4:00 PM
Friday: 8:00 AM – 4:00 PM
Saturday: 8:00 AM – 4:00 PM
Sunday: 8:00 AM – 3:00 PM",Called - Got Prices,,Yes,Yes,Front Desk,"The rep was helpful
They are an eye clinic hence don't have any vaccine fees",360 (Exact),40 after first consultation,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,,At the Doctor's discretion,At the Doctor's discretion,,emergency services after hours? specialty clinic?,
5,West Main Animal Hospital,(626) 282-2179,2216 W Main St,Alhambra,91801,General Practice,"Tuesday: 8:00 AM – 6:30 PM
Wednesday: 8:00 AM – 6:30 PM
Thursday: 8:00 AM – 6:30 PM
Friday: 8:00 AM – 6:30 PM
Saturday: 8:00 AM – 6:30 PM
Sunday: 8:00 AM – 6:30 PM",Called - Got Prices,,Yes,Yes,Front Desk,"The rep was helpful
They stated that the doctor has to do an oral checkin before setting a dental cleaning fee","86.60 for existing clients
Free of charge for new clients",25 (Exact),30 (Exact),31.5 (Exact),,,29.5 (Exact),85 (Exact),33 (Exact),,,820 - 1200,750 -980,An oral check has to be done for doctor to set price,An oral check has to be done before doctor sets price,,,,135,110,,,
6,Aliso Viejo Animal Hospital,(949) 426-7700,23411 Aliso Viejo Pkwy Suite A,Aliso Viejo,92656,General Practice,"Tuesday: 8:00 AM – 9:00 PM
Wednesday: 8:00 AM – 9:00 PM
Thursday: 8:00 AM – 9:00 PM
Friday: 8:00 AM – 9:00 PM
Saturday: 8:00 AM – 9:00 PM
Sunday: 8:00 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,Front Desk,"The rep was helpful
They stated that they do not perform dental care without anaesthesia
They also stated that they do not offer vet tech fees",79 (Exact),N/A,31 (Exact),47 (Exact),,,29 (Exact),47 (Exact),35 (Exact),,,727 - 1250,625 - 1200,700 (Start price),"All dental cleanings are done with anaesthesia
N/A",,,,100,79 (Same as exam fee),,,
7,Affordable Animal Hospital,(714) 772-1611,310 N State College Blvd,Anaheim,92806,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 1:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 1:00 PM",Called - Got Prices,,Yes,Yes,Front Desk,"They do not do dental cleanings without anaesthesia
They also do not give Lepto and Canine Flu vaccines or offer vet tech fees
",65 (Exact),N/A,30 (Exact),42 (Exact),,,31 (Exact),N/A,N/A,,,515 (Exact),475 (Exact),718 (Exact),"All dental cleanings are done with anaesthesia
N/A",,,,189,89,,,
8,Anaheim Animal Care & Pet Hospital,(714) 527-9292,1177 N Magnolia Ave,Anaheim,92801,General Practice,"Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 7:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 7:00 PM
Saturday: 9:00 AM – 7:00 PM
Sunday: 9:00 AM – 3:00 PM",Called - Got Prices,,Yes,Yes,Front Desk,"They also do not perform dental cleanings without anaesthesia
They stated that they do not do emergency visits because they are a clinic
New clients walk in fee for exams is $83",73.35,17 (Exact),40 (Exact),40 same as Rabies,,,30 (Exact),58.5 (Exact),52.5 (Exact),,,658 (Exact),622 (Exact),1200 (Exact),"All dental cleanings are done with anaesthesia
N/A",,,,N/A,117,,,
9,Anaheim Canyon Animal Hospital,(714) 637-1000,781 S Weir Canyon Rd # 197,Anaheim,92808,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 3:00 PM",Called - Got Prices,,Yes,Yes,Front Desk,"The rep was helpful 
They also do not perform dental cleanings without anaesthesia
Their emergency fee is the same as the standard exam fee with additional fees charged based on the pet's needs.
They also do not have vet tech fees",65,N/A,25 (Exact),35 (Exact),,,29 (Exact),43 (Exact),39.50 (Exact),,,545 (Exact),485 (Exact),450 (Exact),"All dental cleanings are done with anaesthesia
N/A",,,,65 + (additional costs based on pet's needs,65 (same as standard exam fees and emergency fees),,what is the difference between urgent care and emergency.  Do they have emergency services?,
